Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Finnish-Japanese Joint Seminar 2010: Future prospects of photosynthetic organisms: from genomes to environment;Kangasjärvi, Saijaliisa;138282;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Finnish-Japanese Joint Seminar 2010: Future prospects of photosynthetic organisms: from genomes to environment;Keinänen, Markku;140354;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Finnish-Japanese Seminar 2010  Future prospects of photosynthetic organisms: from genomes to environment;Kangasjärvi, Jaakko;138911;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Finnish-Japanese joint Seminar 2010    Future prospects of photosynthetic organisms: from genomes to environment;Tyystjärvi, Taina;139278;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Finnish.Japanese Joint Seminar 2010    Future prospects of photosynthetic organisms: from genomes to environment;Häggman, Hely;139769;15.04.2010;15.04.2010 - 31.12.2010;2.600
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Functional analysis of Staphylococcus aureus Aps/GraRS, VraX and EcsAB proteins;Kontinen, Vesa;140232;15.04.2010;15.04.2010 - 31.12.2011;34.600
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Impact of forestry on species diversity in taiga corridors of East Fennoscandia;Kurhinen, Juri;137604;15.04.2010;15.04.2010 - 31.12.2010;4.150
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Promoting healthy environment: Developement of  co-work in heavy metal analysis;Kantola, Marjatta;139633;15.04.2010;15.04.2010 - 31.12.2010;1.200
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Promoting healthy environment: revegetation of polluted forest soil;Salemaa, Maija;137688;15.04.2010;15.04.2010 - 31.12.2010;1.200
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Psychroactive Archaea and Bacteria in Cold Northern environments.;Montonen, Leone;138702;15.04.2010;15.04.2010 - 31.12.2010;1.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Researcher visit to Wuhan University. The application belongs under the agreement on cooperation with the National Natural Science Foundation of China (NSFC);Skurnik, Mikael;137648;15.04.2010;15.04.2010 - 31.12.2010;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY; ;Suomalais-japanilainen yhteisseminaari 2010  Fotosynteettisten eliöiden tutkimuksen haasteet:  geenitasolta ympäristön ja eliön välisiin  vuorovaikutussuhteisiin;Mäkinen, Kristiina Maria;140200;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY;MTT Agrifood Research Finland;Adapative capacity of agrifood systems. A collaborative Finnish-German project;Rötter, Reimund;139270;29.04.2010;01.05.2010 - 31.12.2012;16.790
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) BY;University of Oulu;Natural recovery of severely polluted forest ecosystems;Kozlov, Mikhail;137807;15.04.2010;15.04.2010 - 31.12.2010;2.390
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Archive and library work in St Petersburg.;Kohonen, Iina;127598;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Bakhtin¿s and Voloshinov¿s Dialogical Conception of Language in the History of Soviet/Russian Linguistics;Lähteenmäki, Mika;127173;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Changing Russian Law;Nysten-Haarala, Soili;128524;04.04.2008;04.04.2008 - 31.12.2008;3.700
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Comparative study of Finnish and Lithuanian rural communities;Vuorisalo, Mari;127697;04.04.2008;04.04.2008 - 31.12.2008;900
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;"Conference participation (""newseum"", May 16), collecting material and planning further collaboration (Project ""Cult, COmmunity, Identity, 2005-2008)";Rautavuoma, Veera;127579;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Conference travel to Hungary;Lahdelma, Tuomo;128884;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Cross-Border prostitution - Ethnosexual Encounters between Finnish men and local women of Cross-Border Regions of Russia - discourses of ethnosexuality from the Russian perspective;Ihamäki, Elina Irene;128670;04.04.2008;04.04.2008 - 31.12.2008;2.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Electronic word list of Tatar;Luutonen, Jorma;127255;04.04.2008;04.04.2008 - 31.12.2008;2.200
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;FIN CAVIAR Arctic Adaptation (IPY-CAVIAR Community Adaptation and Vulnerability in Arctic regions);Stammler-Gossmann, Anna;129099;04.04.2008;04.04.2008 - 31.12.2009;6.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Governance in Urban China - NGOs,Charities and the Multilayered Relationship between State and Society in the contemporary Tianjin;Luova, Outi;127347;04.04.2008;04.04.2008 - 31.12.2008;2.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Health is too important a matter to be left in the hands of health care workers, government officials and politicians: How inclusive are the health care reforms of England, Finland and Hungary?;Raisio, Harri Sakari;126631;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Hooliganism and the Power Relations in the Soviet Union 1922-1929;Jänis-Isokangas, Ira;127832;04.04.2008;04.04.2008 - 31.12.2008;4.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Journey to archives in Moscow;Heikkilä, Pauli;126767;04.04.2008;04.04.2008 - 31.12.2008;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Local Development, Social Innovation and Social Capital ¿ the Bulgarian case;Granberg, Leo;127041;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Local Development, Social Innovation and Social Capital ¿ the Bulgarian case;Nikula, Jouko;126854;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Multilingualism and multiculturalism in Finnih-Russian Context;Vanhala-Aniszewski, Marjatta;127498;04.04.2008;04.04.2008 - 31.12.2008;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Northern Multilingualism: Discourses, Practices and Experiences of Linguistic Diversity in North Calotte.;Laihiala-Kankainen, Sirkka;127327;04.04.2008;04.04.2008 - 31.12.2008;1.930
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Paganism, Traditionalism, Nationalism. Narratives of Russian Rodnoverie.;Aitamurto, Kaarina;128407;04.04.2008;04.04.2008 - 31.12.2008;1.400
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Paikallishallinnon reformi Venajalla: paikallisen democratian ja paikallisen itsehallinnon kehitys tai valtion pystysuoran uusinta;Kopoteva, Inna;128428;04.04.2008;04.04.2008 - 31.12.2008;1.100
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Post-Soviet locality. Finnish literary activities in the Republic of Karerlia.;Kurki, Tuulikki;126991;04.04.2008;04.04.2008 - 31.12.2008;2.400
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Preparing two books for publication: 1) Letters from Michael Chekhov to G. Boner. 2) Theatrical and Literary Contacts of Finland and Russia at the turn of the XX Cnetury.;Byckling, Liisa;129054;04.04.2008;04.04.2008 - 31.12.2008;400
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Religion as a source of solidarity and conflict in present-day Russia;Turunen, Maija;127527;04.04.2008;04.04.2008 - 31.12.2008;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Representation of the Karelian Culture in folk music activities of Russian Karelia;Suutari, Pekka;127308;04.04.2008;04.04.2008 - 31.12.2008;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;"Research mobility grant application to Russia. Aim of the visit is to gather research data (interviews) for the research ""Indigenous Women's Political Agency in International Forums: Arctic Case Study"".";Sinevaara-Niskanen, Heidi;128698;04.04.2008;04.04.2008 - 31.12.2008;1.200
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Researcher Travel Grant for 'Assessing senses of place, mobility and viability in industrial northern communities' (MOVE-INNOCOM) project;Bolotova, Alla;129108;04.04.2008;04.04.2008 - 31.12.2008;5.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Resources, Locality and social space - a comparative study in Finland and Lithuania;Salminen, Veli-Matti;128732;04.04.2008;04.04.2008 - 31.12.2008;900
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Resources, locality and life course - comparative study of Finnish and Lithuanian locality;Kivelä, Päivi;128302;04.04.2008;04.04.2008 - 31.12.2008;900
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Revitalization of Karelian language from 1980's to the present;Knuuttila, Sanna-Riikka;128179;04.04.2008;04.04.2008 - 31.12.2008;1.890
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Russian and Finnish prosody in language learning;Kärkkäinen, Hanna;128921;04.04.2008;04.04.2008 - 31.12.2008;700
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Russian and Finnish prosody in language learning;Ullakonoja, Riikka Kaarina;127747;04.04.2008;04.04.2008 - 31.12.2008;550
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Self-help and Conceptions of a Good Life in Finland and Russia;Salmenniemi, Suvi;128907;04.04.2008;04.04.2008 - 31.12.2009;3.200
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Social Work Practices, Gender and Cooperation with the Service System in Crisis Centres for Women in Russia;Jäppinen, Maija;127356;04.04.2008;04.04.2008 - 31.12.2008;2.800
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Social partnerships as a new type of welfare state in Russia;Granberg, Leo;127078;04.04.2008;04.04.2008 - 31.12.2008;1.300
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Social partnerships as a new type of welfare state in Russia;Kopoteva, Inna;126942;04.04.2008;04.04.2008 - 31.12.2008;1.120
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Social partnerships as a new type of welfare state in Russia;Nikula, Jouko;126902;04.04.2008;04.04.2008 - 31.12.2008;600
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Soviet scientific-technical cooperation with the West and the modernisation of the Soviet economy 1955-1991;Autio-Sarasmo, Sari;127748;04.04.2008;04.04.2008 - 31.12.2008;3.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Structuration of Russia's Energy Policy and Its External Impact: Regional Perspectives I;Dusseault, David;127148;04.04.2008;04.04.2008 - 31.12.2008;3.480
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Structuration of Russia's Energy policy and Its External Impact:  Elite Framing of Russian Energy Policy;Kivinen, Markku;128250;04.04.2008;04.04.2008 - 31.12.2008;2.800
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The strategies of  political agency of RAIPON (Russian Association of Indigenous Peoples of the North, Siberia and Far East) in international arenas;Lindroth, Marjo;126882;04.04.2008;04.04.2008 - 31.12.2008;1.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The study captures symbolic capital of the two pro-Putin youth movements. The primary data is collected from web-sites of the movement. This application concerns the field trips where I am going to interview some activists of the movement Nashi.;Lassila, Jussi P;126997;04.04.2008;04.04.2008 - 31.12.2008;1.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Transnational Media as Ethno-Sexual Zone.;Davydova, Olga;128472;04.04.2008;04.04.2008 - 31.12.2008;1.480
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Visiting the archives and libraries relevant to the doctoral thesis on progress (Myths, Legend and Politics. The Formation of the Historiographical Image of the Monastery of Valaam);Parppei, Kati;127659;04.04.2008;04.04.2008 - 31.12.2008;2.600
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Tampere -2018;Phenomenology and Early Analytic Philosophy;Haaparanta, Leila;127448;19.05.2008;04.04.2008 - 04.04.2010;9.800
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Turku;Markers of Attitude in Context: a contrastive analysis of English and French;Johansson, Marjut;127126;04.04.2008;04.04.2008 - 04.04.2010;3.140
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Turku;The Role of Evidential Markers in On-line Sentence Comprehension;Kaakinen, Johanna;127216;04.04.2008;04.04.2008 - 04.04.2010;2.900
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;"""Social significance of animals in the nomadic pastoral societies of the Arctic, Asia and Africa""; a Japanese-Finnish seminar organised by the Centre for Northeast Asian Studies, Tohoku University and Arctic Centre, University of Lapland, Finland";Mazzullo, Nuccio;133741;15.04.2009;15.04.2009 - 15.04.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;BOREAS MOVE-INNOCOM Assessing senses of place,  mobility and viability in industrial northern communities;Stammler, Florian;133275;31.03.2009;31.03.2009 - 31.12.2010;3.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Culturally Loaded Textual Units as a Translation Problem;Vehmas-Lehto, Inkeri;132569;31.03.2009;31.03.2009 - 31.12.2010;1.100
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Ethnosexual Conflicts in Post-Soviet Space;Virkkunen, Joni;133661;31.03.2009;31.03.2009 - 31.12.2010;2.300
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;FIN CAVIAR, Arctic Adaptation Agencies and Capacities. (IPY-CAVIAR Community Adaptation and Vulnerability in Arctic regions);Stammler-Gossmann, Anna;134647;31.03.2009;31.03.2009 - 31.12.2009;3.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Foundations of the Soviet-Finnish Relations, 1920-1930;Kähönen, Aappo;134392;31.03.2009;31.03.2009 - 31.12.2009;1.720
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanilaisen ja suomalaisen sotien jälkeinen talous ja yhteiskunta: vertailevia aspekteja;Ojala, Jari;134364;15.04.2009;15.04.2009 - 15.04.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Preferred Origins: Post-Soviet Representations of Karelianess in Russian Amateur Writings (A Case of Sortavala, Russian Karelia);Ristolainen, Mari;132525;31.03.2009;31.03.2009 - 31.12.2010;3.220
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Representation of the Karelian Culture in folk music activities;Suutari, Pekka;133100;31.03.2009;31.03.2009 - 31.12.2010;1.100
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Researcher mobility for Assessing senses of place, mobility and viability in industrial northern communities (MOVE-INNOCOM) project;Bolotova, Alla;133882;31.03.2009;31.03.2009 - 31.12.2009;6.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Social significance of animals in the nomadic pastoral societies of the Arctic, Asia and Africa: A Japanese-Finnish seminar organised by Centre for Northeast Asian Studies, Tohoku University and Arctic Centre, University of Lapland;Virtanen, Tea;133312;15.04.2009;15.04.2009 - 15.04.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Soviet Cultural Infiltration to the Soviet zone of occupation in Germany and then in the German Democratic Republic (GDR) from 1945 onwards;Herrala, Meri;132551;31.03.2009;31.03.2009 - 31.12.2011;7.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Success factors of business magazines in Russia;Lehtisaari, Katja;131676;31.03.2009;01.01.2010 - 31.12.2010;1.940
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Taking part in the conference about social and cultural interference in the learning of Hungarian language in Finland and in Japan;Lahdelma, Tuomo;134017;15.04.2009;15.04.2009 - 15.04.2010;3.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Dilemmas of Local Care Mix. Japan-Finland Joint Seminar and Research Field Visit.;Anttonen, Anneli;131748;15.04.2009;15.04.2009 - 15.04.2010;4.070
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Linguistic Revitalization in Olonets Karelian from the 1980's to the Present;Knuuttila, Sanna-Riikka;132960;31.03.2009;31.03.2009 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Uskonto solidaarisuuden ja konfliktin lähteenä Venäjällä tänään;Turunen, Maija;133720;31.03.2009;31.03.2009 - 31.12.2009;1.100
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Helsinki;Social significance of animals in the nomadic pastoral societies of the Arctic, Asia and Africa: a Japanese-Finnish seminar organised by Centre for Northeast Asian Studies, Tohuku University and Arctic Centre, University of Lapland, Finland.;Granberg, Leo;133947;15.04.2009;15.04.2009 - 15.04.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Jyväskylä;Northern Multilingualism: Discourses, Practices and Experiences of Linguistic Diversity in North Calotte;Laihiala-Kankainen, Sirkka;132080;31.03.2009;31.03.2009 - 31.12.2010;3.040
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Jyväskylä;Parental etnotheories about ideal care of children - comparing the thoughts of Japanese and Finnish parents;Perälä-Littunen, Satu;131595;15.04.2009;15.04.2009 - 15.04.2010;10.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Oulu;Application of Advanced IC Technologies to Health Promotion - Interdisciplinary Finnish-Japanese Joint Research Seminar;Huotari, Maija-Leena;134500;15.04.2009;15.04.2009 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Oulu;Finnish and German verb constructions, foreign language learners and online-dictionaries;Jantunen, Jarmo;133271;30.04.2009;04.05.2009 - 04.05.2011;10.420
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Tampere -2018;The Dilemmas of Local Care Mix. Japan-Finland Joint Seminar and Research Field Visit.;Valokivi, Heli;133411;15.04.2009;15.04.2009 - 15.04.2010;4.070
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Tampere -2018;The Dilemmas of Local Care Mix. Japan-Finland Joint Seminar and Research Field Visit.;Zechner, Minna;131538;15.04.2009;15.04.2009 - 15.04.2010;4.070
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Behind Asymmetric Border  International Enterprises and Models of Breaking Boundaries in North-West Russia;Rantalahti, Elina;140237;15.04.2010;15.04.2010 - 31.12.2010;2.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Children's agentive perception uncovered: Cross-cultural comparison of Taiwan and Finland;Reunamo, Jyrki;137457;15.04.2010;15.04.2010 - 31.12.2010;4.400
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Constructing Russian Identity in the Media: Between the History of WW II and the Future of Europeanness;Kangaspuro, Markku;140467;15.04.2010;15.04.2010 - 31.12.2011;4.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Finnish-Japanese joint seminar on phonetics and speech technology;Jokinen, Kristiina;140095;15.04.2010;15.04.2010 - 31.12.2010;2.900
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Finnish-Japanese joint seminar on prosody modeling and speech technology;Laukkanen, Anne-Maria;140017;15.04.2010;15.04.2010 - 31.12.2010;3.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Finnish-Japanese joint seminar on prosody modelling and speech technology;Vainio, Martti;139785;15.04.2010;15.04.2010 - 31.12.2010;2.900
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Geopolitics teaching in Russian universities ¿ Political socialization of future elites -  a mobility grant application to Russia;Mäkinen, Sirke;138904;15.04.2010;15.04.2010 - 31.12.2010;1.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society:  Comparative Perspective;Ojala, Jari;140109;15.04.2010;15.04.2010 - 31.12.2010;2.560
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society:  Comparative Perspective;Uotila, Merja;140259;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society:  Comparative Perspective;Uskali, Turo;139333;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society:  Comparative Perspective;Valtonen, Heli;140253;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society:  Comparative Perspectives;Särkkä, Timo;140269;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society: Comparative  Perspectives;Paloheimo, Maare;140271;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society: Comparative Perspective;Turunen, Olli;140478;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Japanese and Finnish Post War Economy and Society: Comparative Perspectives;Ruuskanen, Esa;140129;15.04.2010;15.04.2010 - 31.12.2010;2.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Magazines in Russian Media System;Pietiläinen, Jukka;139755;15.04.2010;15.04.2010 - 31.12.2011;1.300
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Mujôkan (sense of transience, or impermanence) in Japanese literature and in (emaki) illustrated narratives;Porrasmaa, Raisa;138190;15.04.2010;15.04.2010 - 31.12.2012;33.600
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Political Activism and Repertoires of Contention of the Russian Democratic Youth Movements;Kemppainen, Laura;137456;15.04.2010;15.04.2010 - 31.12.2011;6.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Researcher mobility for Assessing senses of place,  mobility and viability in industrial northern communities(MOVE-INNOCOM) project;Bolotova, Alla;138848;15.04.2010;15.04.2010 - 31.12.2010;2.200
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Russian Law in Books and in Practice;Nysten-Haarala, Soili;139503;15.04.2010;15.04.2010 - 31.12.2011;2.800
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Second Finnish-Japanese bilateral seminar on speech prosody and speech technology.;Werner, Stefan;140511;15.04.2010;15.04.2010 - 31.12.2010;3.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Seeking Justice in Europe: the Transnational Diffusion and Translation of Human Rights Practices in Russia;Van Der Vet, Freek;137518;15.04.2010;15.04.2010 - 31.12.2010;6.580
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Snowchange ¿ Indigenous Observations of Arctic Climate and Ecological Change;Mustonen, Tero;139083;15.04.2010;15.04.2010 - 31.12.2010;3.500
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Linguistic and Cultural Heritage of the Ancient Finno-Ugrian Territories of Central Russia;Ahlqvist, Arja R K;137601;15.04.2010;15.04.2010 - 31.12.2011;12.710
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Soviet Union and scientific-technical cooperation with the West 1955-1991;Autio-Sarasmo, Sari;139240;15.04.2010;15.04.2010 - 31.12.2010;2.200
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Structuration of Russia's Energy Policy and Its External Impact: regional perspectives III;Dusseault, David;138736;15.04.2010;15.04.2010 - 31.12.2010;3.680
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Structuration of Russia¿s Energy Policy and Its External Impact III;Kivinen, Markku;140230;15.04.2010;15.04.2010 - 31.12.2010;2.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The Use and Abuse of History in the Identity Politics in Eastern Europe;Jutila, Matti A;138942;15.04.2010;15.04.2010 - 31.12.2011;3.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;The change, present state and future prospects of resource-based communities in Russia based on local aspects. Comparative case studies from different regions.;Suutarinen, Tuomas;139263;15.04.2010;15.04.2010 - 31.12.2011;6.620
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Women and Print in the New Russia;Ratilainen, Saara;139186;15.04.2010;15.04.2010 - 31.12.2010;1.380
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Women in Managerial Careers in China and Finland - a comparative perspective;Kauppinen, Kaisa;139602;15.04.2010;15.04.2010 - 31.12.2010;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY; ;Women in Managerial Careers in China and Finland - copying with networks of life and work;Aaltio, Iiris Elina;138224;15.04.2010;15.04.2010 - 31.12.2010;1.000
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Helsinki;Self-help Technologies and Conceptions of a Good Life in Russia;Salmenniemi, Suvi;137806;15.04.2010;15.04.2010 - 31.12.2010;1.930
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Helsinki;The Structuration of Russia's Energy Policy and Its External Impact III;Dusseault, David;139797;15.04.2010;15.04.2010 - 31.12.2010;3.890
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) KY;University of Jyväskylä;Doctoral student visit to Kyoto Sangyo University in order to further Ph.D. thesis.;Pennanen, Henna-Riikka;139483;15.04.2010;15.04.2010 - 31.12.2010;6.300
Tutkijoiden liikkuvuus - Suomesta (omat matkat ulkomaille) LT; ;4th Japan-Finland Biotech Symposium;Wahlroos, Tony;126628;04.04.2008;04.04.2008 - 04.04.2009;2.000
