Call;Organisation;Project title;Applicant / Contact person;Decision No.;Decision date;Funding period;Funding
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;Tampere University of Technology -2018;Modelling Scanning Probe Microscopy in Multiple Environments and Modes;Foster, Adam;141554;21.03.2011;01.06.2011 - 31.05.2012;119.999
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;University of Jyväskylä;Molecule-Based Magnets and Conductors;Tuononen, Heikki;141560;21.03.2011;01.04.2011 - 31.03.2012;92.599
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;University of Jyväskylä;The nonlinear high energy regime of Quantum Chromodynamics;Lappi, Tuomas;141555;21.03.2011;01.04.2011 - 31.03.2012;119.399
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;University of Oulu;SECURE LIGHTWEIGHT PROTOCOLS FOR PERSONAL DEVICE MONITORING;Gurtov, Andrei;141561;21.03.2011;01.05.2011 - 30.04.2012;110.000
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;VTT Technical Research Centre of Finland;Deciphering the Interactions between Halocarbons and Biomolecules (HALOSense);Metrangolo, Pierangelo;141558;21.03.2011;22.03.2011 - 21.03.2012;119.999
ERC-hakijoiden kilpailukyvyn vahvistaminen LT;VTT Technical Research Centre of Finland;Energy Efficient Electrical Drives of the Future (E3DF);Tammi, Kari;141556;21.03.2011;22.03.2011 - 21.03.2012;104.000
ERC-hakijoiden kilpailukyvyn vahvistaminen TT;University of Helsinki;Biology and therapeutic potential of a novel family of neurotrophic factors;Saarma, Mart;135699;20.11.2009;01.01.2010 - 31.12.2010;220.001
ERC-hakijoiden kilpailukyvyn vahvistaminen TT;University of Helsinki;NEW BIOLOGICAL FUNCTION AND THERAPEUTIC POTENTIAL OF   VASCULAR ENDOTHELIAL GROWTH FACTORS;Alitalo, Kari;135814;20.11.2009;01.01.2010 - 31.12.2010;200.001
ERC-hakijoiden kilpailukyvyn vahvistaminen TT;University of Tampere -2018;Genes modulating Mycobacterial infection;Rämet, Mika;135736;20.11.2009;01.01.2010 - 31.12.2010;132.000
ESF EUROCORES EuroEPINOMICS, kutsuhaku TT;Samfundet folkhälsan;Complex genetics of idiopathic epilepsies;Lehesjoki, Anna-Elina;141549;15.12.2010;01.01.2011 - 31.12.2013;350.000
